,count,mean,std,min,25%,50%,75%,max,missing_count
N,10000.0,105.18995667081373,54.384246978749815,10.028726157138482,58.195798585718194,105.02533794565642,152.90027642859053,199.9762688368457,0
P,10000.0,77.88250866246055,41.76099476076081,5.01885163426549,41.46073754861096,78.8135735307504,113.86599856094111,149.98074407291688,0
K,10000.0,128.93665415557595,69.79590087453063,10.024219828140035,67.35587423957641,129.2256131070804,189.6422630084949,249.99809015271185,0
pH,10000.0,6.490537241257946,1.157898046586214,4.5000669450317385,5.4872669798791005,6.475950457983339,7.498968846897741,8.49988858947193,0
EC,10000.0,1.299314965841546,0.6931230590372245,0.1002513059155445,0.6966783196466714,1.307263579013415,1.8999124915315329,2.4998966904850484,0
OC,10000.0,1.052178650017923,0.547958650292153,0.1000160212014781,0.5846129919908984,1.051160391814964,1.530551316754092,1.9998854224868647,0
S,10000.0,50.46076815605552,28.21211418107028,2.005575338257878,25.857158839416723,50.280106828259306,74.57230908100311,99.99228766405024,0
Zn,10000.0,5.068709695979563,2.873847659084411,0.1007796626366,2.5926057121402826,5.053778840446901,7.568544586424764,9.997760661036802,0
Fe,10000.0,25.379651676867564,14.429579064058057,0.1018256004495711,12.773285566567113,25.545327896922906,37.954603071499484,49.99947030282812,0
Cu,10000.0,2.566898443472166,1.4112666862953898,0.1000322027882498,1.3448341241427002,2.5669521565630298,3.7826170585229204,4.99927535552188,0
Mn,10000.0,12.562450882204942,7.187855326350007,0.1006534247985376,6.333410749300806,12.497784275027836,18.773183123141457,24.99714141072254,0
B,10000.0,1.5530220177127088,0.8334674176454735,0.1000138579665731,0.8377448405214126,1.5619315610079725,2.26504088313421,2.999950655724305,0
